RowN,Line,WorkcellId,Workcell,tShift,tStartHour,SH,OEE,Availability,Performance,Quality,dGoodParts,sScrapParts,dTotalParts,dScrapPcnt,MaxParts,DownTime,TotalTime,IdealAvailTime,lFaultCount,FaultTime,RunTime,AvailableTime,MTBF,MTTR,PlannedDownTime,SpeedLoss,ActualCylceTime,IdealCylceTime,CycleTimeDiff,IdealLostParts,IdealLostPartsMinutes,IdealScrapPartsMinutes,ActualScrapPartsMinutes,tStartHourMachine
343,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 13:00:00.000,13,80.0000000186264,91.4351388950955,87.4937152011233,100,300,0,300,0,374.999999912689,5.13891666174618,60,59.9999999860302,0,0,54.861083324284,59.9999999860302,0,0,1.39698310401097E-08,12.5062847988767,10.9722166648568,9.6,-1.3722166648568,74.9999999126886,11.9999999860302,0,0,2019-4-7 13_TrayLoader
344,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 14:00:00.000,14,78.3144381971276,89.8916271432735,87.1209485087042,100,294,0,294,0,375.409703201808,6.07165000639508,60,60.0655525122892,0,0,53.9939025058941,60.0655525122892,0,0,-0.0155525122891959,12.8790514912958,11.0191637767131,9.6,-1.41916377671309,81.4097032018076,13.0255525122892,0,0,2019-4-7 14_TrayLoader
345,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 15:00:00.000,15,78.4857490036492,91.4698193525491,85.8050770835614,100,294,0,294,0,374.590296623569,5.11251663836998,59,59.9344474597711,0,0,54.8219308214011,59.9344474597711,0,0,0.0155525402288731,14.1949229164386,11.1881491472247,9.6,-1.58814914722472,80.5902966235695,12.8944474597711,0,0,2019-4-7 15_TrayLoader
346,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 16:00:00.000,16,78.4000000182538,89.9601389302976,87.1497098053609,100,294,0,294,0,374.999999912689,6.02391664041889,60,59.9999999860302,0,0,53.9760833456113,59.9999999860302,0,0,1.39698083027421E-08,12.8502901946391,11.0155272133901,9.60000000000001,-1.41552721339006,80.9999999126885,12.9599999860302,0,0,2019-4-7 16_TrayLoader
347,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 17:00:00.000,17,80.0000000186264,91.8405000119149,87.1075397109637,100,300,0,300,0,374.999999912688,4.89569999171123,60,59.9999999860302,0,0,55.104299994319,59.9999999860302,0,0,1.39698234609871E-08,12.8924602890363,11.0208599988638,9.6,-1.42085999886379,74.9999999126885,11.9999999860302,0,0,2019-4-7 17_TrayLoader
348,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 18:00:00.000,18,78.4000000182538,90.0734999825548,87.0400284583569,100,294,0,294,0,374.999999912689,5.9559000090804,60,59.9999999860302,0,0,54.0440999769498,59.9999999860302,0,0,1.39698234609871E-08,12.9599715416431,11.0294081585612,9.6,-1.42940815856118,80.9999999126887,12.9599999860302,0,0,2019-4-7 18_TrayLoader
349,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 19:00:00.000,19,56.0000000130385,62.6292777905748,89.4150499392571,100,210,0,210,0,374.999999912689,22.4224333204345,60,59.9999999860301,2,2.00143333985259,37.5775666655956,59.9999999860301,1127.32699996787,1,1.39698613565997E-08,10.5849500607429,10.7364476187416,9.59999999999999,-1.13644761874162,164.999999912689,26.3999999860302,0,0,2019-4-7 19_TrayLoader
350,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 20:00:00.000,20,80.0000000186264,91.8188098656484,87.1281169247177,100,300,0,300,0,374.999999912689,4.90871407946808,60,59.9999999860302,0,0,55.0912859065621,59.9999999860302,0,0,1.39698310401097E-08,12.8718830752823,11.0182571813124,9.6,-1.41825718131242,74.9999999126886,11.9999999860302,0,0,2019-4-7 20_TrayLoader
351,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 21:00:00.000,21,78.4000000182538,90.0328289608332,87.0793475259563,100,294,0,294,0,374.999999912689,5.98030262210767,60,59.9999999860302,0,0,54.0196973639225,59.9999999860302,0,0,1.39698234609871E-08,12.9206524740437,11.0244280334536,9.6,-1.42442803345357,80.9999999126886,12.9599999860302,0,0,2019-4-7 21_TrayLoader
352,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 22:00:00.000,22,76.8000000178813,89.9140833292776,85.4148729255564,100,288,0,288,0,374.999999912689,6.05155000102446,60,59.9999999860301,0,0,53.9484499850057,59.9999999860301,0,0,1.39698537774772E-08,14.5851270744436,11.2392604135429,9.6,-1.63926041354286,86.9999999126886,13.9199999860302,0,0,2019-4-7 22_TrayLoader
353,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-07 23:00:00.000,23,80.0000000186264,91.3244999473006,87.5997131818853,100,300,0,300,0,374.999999912689,5.20530003040768,60,59.9999999860301,0,0,54.7946999556225,59.9999999860301,0,0,1.39698537774772E-08,12.4002868181147,10.9589399911245,9.6,-1.3589399911245,74.9999999126885,11.9999999860302,0,0,2019-4-7 23_TrayLoader
